brand,nama_artikel,sku_induk,ukuran,sku_turunan,ongkos_produksi_modal_diferd,harga_tagih_tm420
VOOJAH,"420F Navy Oversize Boxy",420-NAV-BRI-OVE-BOC,L,420-NAV-BRI-OVE-BOC-L,70000,80000
VOOJAH,"420F Navy Oversize Boxy",420-NAV-BRI-OVE-BOC,XL,420-NAV-BRI-OVE-BOC-XL,70000,80000
VOOJAH,"420F Navy Oversize Boxy",420-NAV-BRI-OVE-BOC,XXL,420-NAV-BRI-OVE-BOC-XXL,75000,85000
VOOJAH,"420F Olive Oversize Boxy",420-OLI-OVE,S,420-OLI-OVE-S,70000,80000
VOOJAH,"420F Olive Oversize Boxy",420-OLI-OVE,M,420-OLI-OVE-M,70000,80000
VOOJAH,"420F Olive Oversize Boxy",420-OLI-OVE,L,420-OLI-OVE-L,70000,80000
VOOJAH,"420F Olive Oversize Boxy",420-OLI-OVE,XL,420-OLI-OVE-XL,70000,80000
VOOJAH,"420F Olive Oversize Boxy",420-OLI-OVE,XXL,420-OLI-OVE-XXL,75000,85000
VOOJAH,"Nature Never Lies",VOO-NAT-NEV-LIE-LON---COT-COM-24S,S,VOO-NAT-NEV-LIE-LON---COT-COM-24S-S,80000,85000
VOOJAH,"Nature Never Lies",VOO-NAT-NEV-LIE-LON---COT-COM-24S,M,VOO-NAT-NEV-LIE-LON---COT-COM-24S-M,80000,85000
VOOJAH,"Nature Never Lies",VOO-NAT-NEV-LIE-LON---COT-COM-24S,L,VOO-NAT-NEV-LIE-LON---COT-COM-24S-L,80000,85000
VOOJAH,"Nature Never Lies",VOO-NAT-NEV-LIE-LON---COT-COM-24S,XL,VOO-NAT-NEV-LIE-LON---COT-COM-24S-XL,80000,85000
VOOJAH,"Nature Never Lies",VOO-NAT-NEV-LIE-LON---COT-COM-24S,XXL,VOO-NAT-NEV-LIE-LON---COT-COM-24S-XXL,85000,90000
VOOJAH,Stoner,VOO-STO-LS---COT,S,VOO-STO-LS---COT-S,80000,85000
VOOJAH,Stoner,VOO-STO-LS---COT,M,VOO-STO-LS---COT-M,80000,85000
VOOJAH,Stoner,VOO-STO-LS---COT,L,VOO-STO-LS---COT-L,80000,85000
VOOJAH,Stoner,VOO-STO-LS---COT,XL,VOO-STO-LS---COT-XL,80000,85000
VOOJAH,Stoner,VOO-STO-LS---COT,XXL,VOO-STO-LS---COT-XXL,85000,90000
